geoid,countyfp,prc_nonengprof_final,prc_nonengprof_final_unreliable_flag,prc_caraccess_final,prc_caraccess_final_unreliable_flag,prcdisabled_final,prcdisabled_final_unreliable_flag,prc_pov_final,prc_pov_final_unreliable_flag,prc_youth_final,prc_youth_final_unreliable_flag,prc_asian,prc_asian_unreliable_flag,prc_black,prc_black_unreliable_flag,prc_latino,prc_latino_unreliable_flag,prc_white,prc_white_unreliable_flag,cvapdens,cvapdens_unreliable_flag,tot_elignonreg_prc_final,tot_elignonreg_prc_final_unreliable_flag,job_dens,pollvoter_dens,pop10,areakm,popdens,vbm_rate_tot,vbm_rate_lat,vbm_rate_asn,vbm_rate_youth
37021000100,21,0.04003,1,0.57761,0,0.19362,0,0.25198,0,0.07472,0,0.01868,1,0.15544,0,0.04336,1,0.72515,0,0.0072,0,0.0,1,0.11873,0.00414,1398,0.96913,1442.53567,0.74252,0.77633,0.71248,0.70768
37021000200,21,0.00982,1,0.90029,0,0.0767,0,0.19947,0,0.06246,0,0.02458,1,0.23522,0,0.01993,1,0.65249,0,0.00589,0,0.0,1,0.00501,0.00565,1797,1.38386,1298.53826,0.79401,0.87867,0.67612,0.75903
37021000300,21,0.00901,1,0.9428,0,0.11436,0,0.3276,0,0.15621,0,0.01851,1,0.24921,0,0.02664,0,0.68849,0,0.00881,0,0.0,1,0.00887,0.0086,2159,2.15339,1002.60504,0.79689,0.87974,0.67336,0.75897
37021000400,21,0.00695,1,0.89774,0,0.0998,0,0.1736,0,0.41843,0,0.01309,1,0.0398,0,0.05263,0,0.83713,0,0.01782,0,0.10206,0,0.00916,0.01313,3775,2.64001,1429.91813,0.77166,0.78542,0.75352,0.82009
37021000500,21,0.01798,1,0.97558,0,0.05182,0,0.05218,0,0.06977,0,0.01163,1,0.01588,1,0.02723,1,0.92967,0,0.0138,0,0.0,1,0.02049,0.01975,3615,5.69131,635.17865,0.78198,0.75365,0.75987,0.82695
37021000600,21,0.02845,1,0.92271,0,0.09987,0,0.13209,0,0.07609,0,0.0,1,0.07301,1,0.06427,1,0.83599,0,0.00866,0,0.0,1,0.01683,0.00907,2127,1.68763,1260.34722,0.75447,0.751,0.66667,0.73461
37021000700,21,0.0,1,0.95745,0,0.07059,0,0.10606,0,0.1241,0,0.02582,1,0.35079,0,0.00359,1,0.59756,0,0.00592,0,0.0,1,0.01077,0.00694,1139,1.68474,676.0705,0.75376,0.75862,0.69231,0.69919
37021000800,21,0.03671,1,0.98575,0,0.09265,0,0.09491,1,0.05852,0,0.0,1,0.17858,0,0.06818,1,0.73392,0,0.01488,0,0.02205,0,0.08708,0.01611,3530,4.74272,744.298,0.71251,0.65903,0.77072,0.67739
37021000900,21,0.00324,1,0.64401,0,0.25377,0,0.40758,0,0.05215,0,0.0,1,0.51853,0,0.00295,1,0.47425,0,0.01218,0,0.0,1,0.05875,0.0141,3291,4.78497,687.77826,0.71853,0.68879,0.75003,0.66092
37021001000,21,0.01212,1,0.92127,0,0.1168,0,0.23064,0,0.06815,0,0.0119,1,0.12441,0,0.06296,0,0.76352,0,0.01797,0,0.0,1,0.01464,0.01953,3977,3.7962,1047.62776,0.71211,0.63368,0.89351,0.7308
37021001100,21,0.03809,1,0.97032,0,0.08292,0,0.07238,0,0.02139,1,0.02669,1,0.06438,0,0.06202,1,0.83749,0,0.02006,0,0.04601,0,0.01365,0.01942,4398,3.76844,1167.05968,0.72611,0.70051,0.87319,0.69887
37021001200,21,0.03455,1,0.94405,0,0.14955,0,0.06329,0,0.05858,0,0.0,1,0.03167,1,0.08147,0,0.87159,0,0.02016,0,0.0,1,0.02165,0.02215,4592,7.45449,616.00457,0.73503,0.74866,0.75636,0.70041
37021001300,21,0.05856,1,0.95444,0,0.1312,0,0.24494,0,0.07419,0,0.00565,1,0.05911,0,0.06053,0,0.75601,0,0.01566,0,0.02358,0,0.01163,0.01462,3955,5.45345,725.22895,0.72798,0.67955,0.78771,0.67595
37021001400,21,0.09911,0,0.97466,0,0.11932,0,0.11078,0,0.11689,0,0.00554,1,0.10677,0,0.13999,0,0.7273,0,0.0251,0,0.00615,0,0.03624,0.02918,7191,12.20111,589.37269,0.67479,0.64599,0.78867,0.64365
37021001500,21,0.08407,0,0.9526,0,0.14689,0,0.2179,0,0.07981,0,0.03758,1,0.02712,1,0.1945,0,0.7222,0,0.00939,0,0.27981,0,0.01043,0.00629,2158,4.12694,522.90509,0.74452,0.77083,0.76923,0.70866
37021001600,21,0.0394,1,0.98202,0,0.07755,0,0.12849,0,0.08623,0,0.01066,1,0.0259,1,0.08821,1,0.8536,0,0.02573,0,0.0,1,0.02011,0.0249,6019,18.82329,319.76336,0.78827,0.77434,0.72349,0.71302
37021001700,21,0.0,1,0.97085,0,0.04066,1,0.06305,0,0.0676,0,0.00222,1,0.00332,1,0.00665,1,0.98633,0,0.01186,0,0.0,1,0.00223,0.01195,2423,17.60183,137.65613,0.80231,0.65121,0.82152,0.79141
37021001801,21,0.04176,1,0.85234,0,0.08054,0,0.11188,0,0.06406,0,0.00451,1,0.11038,0,0.00812,1,0.85203,0,0.01372,0,0.0,1,0.01528,0.0141,3187,8.52945,373.64659,0.74173,0.74261,0.78512,0.74317
37021001802,21,0.02486,1,0.98103,0,0.06284,0,0.05879,0,0.07126,0,0.00328,1,0.07088,0,0.03805,1,0.87312,0,0.0214,0,0.23069,0,0.00627,0.01793,4458,9.62692,463.07632,0.71886,0.75744,0.79161,0.72858
37021001900,21,0.10946,0,0.95238,0,0.11659,0,0.14549,0,0.06463,0,0.00339,1,0.03362,1,0.16628,0,0.78759,0,0.01523,0,0.0,1,0.021,0.02288,3054,8.32969,366.64049,0.72274,0.73654,0.68501,0.7011
37021002000,21,0.01808,0,0.91467,0,0.08204,0,0.13705,0,0.04186,0,0.00446,1,0.28314,0,0.02483,1,0.65701,0,0.02457,0,0.19018,0,0.0524,0.01871,6032,7.74136,779.19143,0.73315,0.79073,0.7254,0.66707
37021002101,21,0.00268,1,1.0,0,0.03499,1,0.03446,0,0.03186,0,0.01235,1,0.0,1,0.0065,1,0.95254,0,0.00594,0,0.0,1,0.02219,0.02276,1375,24.74378,55.56952,0.62437,0.80069,0.66055,0.69649
37021002102,21,0.08022,1,0.91805,0,0.10123,0,0.13513,0,0.09055,0,0.00018,1,0.18598,0,0.10121,1,0.68516,0,0.01981,0,0.01796,0,0.01686,0.01915,5084,8.79822,577.84419,0.73838,0.67841,0.71022,0.64274
37021002203,21,0.1841,0,0.93905,0,0.10212,0,0.16686,0,0.056,0,0.01829,1,0.11383,0,0.20869,0,0.62263,0,0.0146,0,0.51068,0,0.03749,0.009,4739,16.75839,282.78367,0.69859,0.76725,0.63273,0.62179
37021002204,21,0.02432,1,0.95503,0,0.07289,1,0.06846,0,0.12569,0,0.0598,0,0.04939,1,0.03776,0,0.83654,0,0.03716,0,0.00318,0,0.06483,0.03205,7926,17.38427,455.92932,0.78781,0.74363,0.87413,0.72864
37021002205,21,0.06592,1,0.99391,0,0.06552,0,0.05345,1,0.06704,0,0.04416,0,0.05813,0,0.03591,1,0.84185,0,0.02686,0,0.15299,0,0.0058,0.02499,6412,11.41206,561.8616,0.76039,0.59798,0.83792,0.71525
