lat,lon
35.48603,-82.52545
35.43082,-82.535
35.43742,-82.53731
35.48323,-82.53822
35.48301,-82.53799
35.4815,-82.5516
35.48162,-82.55258
35.55213,-82.52018
35.58386,-82.49511
35.59663,-82.57188
35.61427,-82.63259
35.60856,-82.62652
35.61536,-82.62998
35.61263,-82.63262
35.61059,-82.62859
35.58123,-82.56434
35.58251,-82.56171
35.57738,-82.56251
35.56214,-82.54171
35.59184,-82.5135
35.5972,-82.5079
35.59722,-82.50554
35.59726,-82.50528
35.59151,-82.51582
35.59513,-82.51665
35.59055,-82.51587
35.58731,-82.51675
35.59101,-82.50408
35.58358,-82.61769
35.586,-82.61683
35.58556,-82.61456
35.57874,-82.58792
35.57859,-82.58544
35.5785,-82.58534
35.59258,-82.55632
35.59275,-82.55541
35.59276,-82.55555
35.59277,-82.5557
35.59278,-82.5559
35.59278,-82.55607
35.59286,-82.55541
35.59287,-82.55556
35.59286,-82.5557
35.59288,-82.55589
35.59608,-82.59153
35.59852,-82.5911
35.60161,-82.59034
35.60652,-82.5912
35.60419,-82.58661
35.6028,-82.58626
35.60092,-82.58478
35.59808,-82.58262
35.59691,-82.58694
35.59574,-82.59152
35.59151,-82.59309
35.58777,-82.59259
35.56633,-82.53527
35.56683,-82.53179
35.56781,-82.52934
35.56717,-82.52671
35.56629,-82.51328
35.56612,-82.52161
35.56546,-82.51977
35.56496,-82.51633
35.56446,-82.51332
35.56505,-82.51118
35.56698,-82.50839
35.57061,-82.50646
35.57058,-82.50792
35.57116,-82.50303
35.5665,-82.53551
35.57592,-82.51842
35.60393,-82.58977
35.572,-82.51656
35.5699,-82.51414
35.56472,-82.51284
35.60726,-82.58713
35.56504,-82.51632
35.56608,-82.52129
35.56676,-82.52554
35.56791,-82.52918
35.56704,-82.53153
35.58779,-82.59246
35.59185,-82.59286
35.59281,-82.5557
35.59569,-82.55188
35.59657,-82.55212
35.59844,-82.55299
35.60048,-82.55367
35.60317,-82.5531
35.6076,-82.55372
35.61032,-82.55463
35.61303,-82.55504
35.61538,-82.55513
35.61425,-82.55871
35.61427,-82.56133
35.61807,-82.56366
35.61825,-82.5668
35.61567,-82.56759
35.61598,-82.56469
35.61412,-82.56142
35.61419,-82.55852
35.61632,-82.55448
35.62028,-82.55427
35.62321,-82.55456
35.62539,-82.55392
35.62833,-82.55263
35.62993,-82.55267
35.632,-82.55431
35.63483,-82.55693
35.63615,-82.56611
35.6371,-82.57098
35.63715,-82.575
35.63493,-82.57551
35.6324,-82.57603
35.62978,-82.57484
35.63085,-82.56979
35.63128,-82.56689
35.63229,-82.5605
35.62895,-82.55566
35.62699,-82.55343
35.62545,-82.55415
35.62332,-82.55473
35.61967,-82.55444
35.61286,-82.55523
35.61009,-82.55475
35.60749,-82.55387
35.60341,-82.55328
35.60163,-82.55349
35.59832,-82.55312
35.59669,-82.55232
35.59563,-82.55201
35.62919,-82.55254
35.63469,-82.54966
35.63643,-82.54759
35.63752,-82.54405
35.63954,-82.54067
35.64274,-82.53658
35.64164,-82.53143
35.60028,-82.52927
35.64408,-82.52807
35.64205,-82.52898
35.64173,-82.53229
35.64316,-82.53556
35.64095,-82.54004
35.63876,-82.54248
35.63652,-82.54764
35.6347,-82.5498
35.62943,-82.55241
35.6271,-82.55322
35.59403,-82.55712
35.59371,-82.55865
35.59307,-82.56195
35.59636,-82.55926
35.59709,-82.56024
35.59427,-82.56421
35.59378,-82.56765
35.59561,-82.56903
35.59514,-82.57072
35.5923,-82.56976
35.595,-82.57038
35.59554,-82.56895
35.59367,-82.5677
35.59423,-82.56408
35.597,-82.56017
35.59291,-82.56186
35.59351,-82.55888
35.59397,-82.5567
35.5945,-82.55422
35.59625,-82.54904
35.59755,-82.54569
35.59799,-82.5442
35.59914,-82.54165
35.59674,-82.53469
35.59442,-82.53208
35.59254,-82.53106
35.58982,-82.53014
35.58531,-82.52799
35.58257,-82.52519
35.5805,-82.52309
35.57915,-82.52171
35.57784,-82.51978
35.57893,-82.51734
35.57582,-82.51454
35.57739,-82.51209
35.57484,-82.50662
35.57478,-82.50228
35.57693,-82.49874
35.57948,-82.49671
35.58182,-82.49472
35.58389,-82.49497
35.58729,-82.49105
35.58733,-82.48837
35.58847,-82.4847
35.58751,-82.4879
35.58718,-82.49171
35.58539,-82.49435
35.58217,-82.49476
35.57975,-82.49659
35.57463,-82.50293
35.57483,-82.50636
35.58708,-82.48536
35.57784,-82.51244
35.58008,-82.51565
35.57886,-82.51819
35.57816,-82.52038
35.58035,-82.52259
35.58265,-82.52498
35.58627,-82.52849
35.58975,-82.52986
35.59264,-82.53087
35.5946,-82.5319
35.5967,-82.53431
35.59818,-82.54426
35.59736,-82.54704
35.59646,-82.54909
35.5956,-82.55179
35.58666,-82.51345
35.58666,-82.51045
35.58648,-82.50656
35.58711,-82.50305
35.5892,-82.50017
35.59113,-82.50411
35.59196,-82.50555
35.5955,-82.50319
35.60225,-82.50211
35.6003,-82.50409
35.59728,-82.50788
35.5956,-82.51001
35.59195,-82.51353
35.59062,-82.51591
35.59071,-82.51735
35.5875,-82.51754
35.58707,-82.51402
35.58983,-82.51011
35.59189,-82.50585
35.58916,-82.50053
35.58845,-82.49523
35.58654,-82.48213
35.58622,-82.47581
35.58481,-82.47257
35.58355,-82.46734
35.58376,-82.46409
35.58392,-82.4644
35.58381,-82.46732
35.58524,-82.47295
35.58684,-82.48266
35.58726,-82.48521
35.58748,-82.49165
35.58868,-82.49515
35.58734,-82.50307
35.58668,-82.50716
35.58684,-82.51034
35.5869,-82.51354
35.59292,-82.43585
35.59043,-82.45181
35.59295,-82.43665
35.59361,-82.42998
35.5949,-82.42515
35.5988,-82.40986
35.60003,-82.40291
35.60177,-82.39792
35.60211,-82.36725
35.60422,-82.3624
35.60558,-82.35902
35.60754,-82.35033
35.60949,-82.34104
35.61099,-82.33385
35.61379,-82.32678
35.61573,-82.3219
35.61566,-82.31917
35.61571,-82.32212
35.61375,-82.32734
35.61123,-82.33371
35.60963,-82.34125
35.60769,-82.35046
35.60451,-82.3622
35.60205,-82.36788
35.60207,-82.39764
35.60007,-82.40361
35.59913,-82.40934
35.5951,-82.42512
35.5935,-82.43321
35.59057,-82.45198
35.57221,-82.54526
35.57234,-82.54514
35.60255,-82.39131
35.60246,-82.39005
35.59097,-82.55446
35.59119,-82.55199
35.59099,-82.55106
35.58856,-82.5518
35.58659,-82.55188
35.58236,-82.55136
35.57956,-82.55031
35.57866,-82.54912
35.57608,-82.54734
35.56995,-82.54488
35.56734,-82.54308
35.56638,-82.54048
35.56579,-82.5387
35.56349,-82.53731
35.56116,-82.53461
35.55833,-82.53346
35.5548,-82.53245
35.5513,-82.53246
35.55106,-82.53044
35.54859,-82.52942
35.54879,-82.52746
35.54838,-82.52557
35.54592,-82.52553
35.5434,-82.52781
35.54148,-82.52748
35.53857,-82.52679
35.53652,-82.52891
35.53622,-82.52903
35.53377,-82.5276
35.53448,-82.52418
35.53522,-82.52042
35.53569,-82.51934
35.54103,-82.52069
35.54385,-82.52139
35.54779,-82.52125
35.55309,-82.52207
35.55196,-82.5202
35.54865,-82.52261
35.54847,-82.5257
35.5489,-82.52749
35.54868,-82.52944
35.55102,-82.53033
35.55138,-82.53236
35.55367,-82.53229
35.55611,-82.53249
35.55885,-82.53356
35.56102,-82.53442
35.56346,-82.53712
35.56558,-82.53835
35.56656,-82.5405
35.5675,-82.543
35.56987,-82.54462
35.57629,-82.5472
35.57971,-82.55014
35.58245,-82.55115
35.587,-82.55163
35.5888,-82.55159
35.59129,-82.55202
35.59117,-82.55515
35.57806,-82.54753
35.57753,-82.54542
35.57656,-82.54288
35.57698,-82.53846
35.57923,-82.53782
35.58167,-82.53555
35.58426,-82.53549
35.58661,-82.53618
35.5874,-82.53382
35.58779,-82.53158
35.59927,-82.53141
35.59941,-82.52856
35.5994,-82.53148
35.58783,-82.53169
35.58756,-82.53484
35.58665,-82.53627
35.58398,-82.5356
35.58181,-82.53562
35.57923,-82.53797
35.57693,-82.5386
35.57704,-82.54056
35.57658,-82.54301
35.5775,-82.54522
35.57808,-82.54772
35.59084,-82.55657
35.58897,-82.55656
35.58489,-82.55618
35.5818,-82.55437
35.57868,-82.55246
35.56598,-82.54394
35.5741,-82.55069
35.57237,-82.55059
35.56961,-82.54998
35.56717,-82.54486
35.56626,-82.54438
35.5633,-82.54222
35.55516,-82.5387
35.54861,-82.53532
35.54613,-82.53425
35.54386,-82.5334
35.5336,-82.52799
35.52856,-82.52923
35.52395,-82.52968
35.51302,-82.52722
35.51063,-82.52659
35.50783,-82.52588
35.50243,-82.52357
35.49951,-82.52172
35.48949,-82.52406
35.48444,-82.52563
35.47997,-82.52461
35.47313,-82.52215
35.46593,-82.51663
35.46177,-82.51372
35.46005,-82.5125
35.45819,-82.51902
35.45408,-82.52255
35.4512,-82.52599
35.44684,-82.53269
35.43674,-82.53637
35.44716,-82.53222
35.45099,-82.52592
35.45397,-82.52234
35.45878,-82.51736
35.46022,-82.51223
35.46653,-82.5167
35.47289,-82.52172
35.47998,-82.52436
35.48547,-82.52535
35.48917,-82.52392
35.49095,-82.52319
35.49992,-82.52167
35.50281,-82.52353
35.50455,-82.52429
35.50792,-82.5256
35.51069,-82.52631
35.51307,-82.52697
35.52365,-82.52942
35.52901,-82.52887
35.53361,-82.52776
35.53666,-82.52908
35.54182,-82.53234
35.54401,-82.53321
35.54609,-82.53399
35.54875,-82.53513
35.5552,-82.53838
35.56315,-82.54182
35.5673,-82.54463
35.56982,-82.54987
35.57192,-82.55047
35.57454,-82.55054
35.57872,-82.55225
35.58189,-82.55414
35.58502,-82.55596
35.58878,-82.55633
35.59094,-82.55905
35.58842,-82.55936
35.58645,-82.55947
35.58459,-82.55961
35.58288,-82.55972
35.57973,-82.55993
35.57793,-82.56011
