idnum,lon,lat,dens.cvap.std,dens.work.std,popDens.std,prc.CarAccess.std,prc.ElNonReg.std,prc.disabled.std,prc.latino.std,prc.nonEngProf.std,prc.pov.std,prc.youth.std,rate.vbm.std,dens.poll.std,center_score,droppoff_score
273,-78.86355,34.88893,0.97335,0.96643,0.40445,0.31405,0.60453,0.40415,0.45833,0.72733,0.05197,0.27415,0.01104,0.8432,0.37118,0.37527
355,-78.57468,34.89547,0.28975,0.0,0.33186,0.1967,0.0,0.16034,0.21599,0.53946,0.53651,0.14753,0.97733,0.94273,0.38439,0.38896
516,-78.91603,34.92504,0.97335,0.98925,0.44273,0.31405,0.60453,0.40415,0.45833,0.72733,0.05197,0.27415,0.13869,0.99867,0.42186,0.42603
574,-78.85472,34.93219,0.97335,0.90356,0.5427,0.31405,0.60453,0.40415,0.45833,0.72733,0.05197,0.27415,0.74131,0.79122,0.50382,0.51294
635,-78.77588,34.93928,0.28975,0.8884,0.41755,0.1967,0.0,0.16034,0.21599,0.53946,0.53651,0.14753,0.89694,0.80786,0.46806,0.49943
823,-78.94226,34.96832,0.7874,0.0,0.64223,0.51458,0.53048,0.51045,0.38678,0.5131,0.39178,0.41357,0.49941,0.57627,0.42472,0.42086
871,-78.95978,34.97554,0.7874,0.0,0.8086,0.51458,0.53048,0.51045,0.38678,0.5131,0.39178,0.41357,0.23793,0.61941,0.37624,0.36549
914,-79.01236,34.98276,0.94803,0.97085,0.47733,0.14988,0.0,0.22821,0.48513,0.77164,0.02665,0.18963,0.06022,0.99735,0.32033,0.34096
1065,-78.96853,35.00439,0.34688,0.0,0.49352,0.75059,0.42859,0.94405,0.84025,0.65121,0.71982,0.58481,0.45127,0.55389,0.50618,0.50369
1071,-78.91594,35.00437,0.26369,0.97688,0.40769,0.82921,0.375,0.72335,0.59128,0.55816,0.76413,0.50957,0.56449,0.93625,0.54228,0.55059
1196,-78.69677,35.01844,0.75913,0.0,0.38855,0.24367,0.28931,0.30816,0.10159,0.01693,0.65769,0.36337,0.13531,0.58157,0.27101,0.26901
1212,-78.99483,35.02603,0.83598,0.77577,0.9283,0.279,0.65577,0.55978,0.60306,0.62574,0.68684,0.46967,0.50913,0.95583,0.6303,0.63127
1223,-78.89839,35.02599,0.09393,0.0,0.66019,0.88972,0.82332,0.97895,0.90975,0.89296,0.95657,0.60718,0.93684,0.60733,0.72538,0.72221
1270,-78.92468,35.03322,0.57435,0.86352,0.97615,0.77076,0.76708,0.47733,0.51045,0.35836,0.63501,0.08613,0.70789,0.83319,0.60667,0.59935
1273,-78.89838,35.0332,0.09393,0.97688,0.56699,0.88972,0.82332,0.97895,0.90975,0.89296,0.95657,0.60718,0.92476,0.95936,0.78974,0.79824
1279,-78.84577,35.03315,0.62191,0.98395,0.57097,0.81743,0.0,0.89046,0.34879,0.9523,0.83863,0.68919,0.78401,0.82906,0.69331,0.72442
1284,-78.80193,35.03308,0.62191,0.77577,0.4467,0.81743,0.0,0.89046,0.34879,0.9523,0.83863,0.68919,0.04211,0.74926,0.46996,0.49345
1312,-79.00359,35.04046,0.61455,0.9869,0.50618,0.75795,0.63133,0.93669,0.61661,0.84025,0.75677,0.78416,0.21996,0.98881,0.67842,0.69042
1314,-78.98606,35.04045,0.55138,0.80875,0.80845,0.32553,0.31581,0.49897,0.41991,0.82877,0.57229,0.13604,0.87971,0.93183,0.60988,0.63527
1315,-78.97729,35.04045,0.55138,0.80875,0.86072,0.32553,0.31581,0.49897,0.41991,0.82877,0.57229,0.13604,0.88766,0.98086,0.61673,0.6421
1316,-78.96852,35.04045,0.34688,0.0,0.8513,0.75059,0.42859,0.94405,0.84025,0.65121,0.71982,0.58481,0.92079,0.81066,0.69569,0.70387
1317,-78.95975,35.04045,0.40665,0.96216,0.80713,0.48822,0.88236,0.37029,0.77091,0.63928,0.67491,0.63958,0.92079,0.95215,0.75189,0.75243
