idnum,lon,lat,dens.cvap.std,dens.work.std,popDens.std,prc.CarAccess.std,prc.ElNonReg.std,prc.disabled.std,prc.latino.std,prc.nonEngProf.std,prc.pov.std,prc.youth.std,rate.vbm.std,dens.poll.std,center_score,droppoff_score
39,-77.73882,35.04685,0.88982,0.0,0.41835,0.1532,0.84372,0.78051,0.88982,0.88982,0.50219,0.50263,0.55092,0.88499,0.58506,0.57949
51,-77.74748,35.05415,0.88982,0.0,0.98112,0.1532,0.84372,0.78051,0.88982,0.88982,0.50219,0.50263,0.55092,0.08033,0.61518,0.61535
52,-77.73871,35.05406,0.88982,0.0,0.43459,0.1532,0.84372,0.78051,0.88982,0.88982,0.50219,0.50263,0.55092,0.95347,0.59052,0.58446
128,-77.64176,35.08186,0.88982,0.0,0.33275,0.1532,0.84372,0.78051,0.88982,0.88982,0.50219,0.50263,0.97717,0.94293,0.65568,0.65603
302,-77.71103,35.14032,0.88982,0.0,0.0,0.1532,0.84372,0.78051,0.88982,0.88982,0.50219,0.50263,0.84197,0.86743,0.55915,0.54746
303,-77.70225,35.14022,0.88982,0.93986,0.55312,0.1532,0.84372,0.78051,0.88982,0.88982,0.50219,0.50263,0.84197,0.77041,0.69393,0.69703
332,-77.70214,35.14743,0.88982,0.982,0.4921,0.1532,0.84372,0.78051,0.88982,0.88982,0.50219,0.50263,0.84197,0.79851,0.69087,0.6944
372,-77.63178,35.15387,0.47366,0.0,0.38016,0.33758,0.0,0.10667,0.15189,0.04214,0.15233,0.19359,0.69622,0.95171,0.34245,0.35124
405,-77.63166,35.16108,0.47366,0.0,0.38016,0.33758,0.0,0.10667,0.15189,0.04214,0.15233,0.19359,0.69622,0.95171,0.34245,0.35124
541,-77.75415,35.19125,0.88982,0.0,0.52546,0.1532,0.84372,0.78051,0.88982,0.88982,0.50219,0.50263,0.97015,0.82221,0.6634,0.66237
575,-77.78918,35.19882,0.88982,0.0,0.34767,0.1532,0.84372,0.78051,0.88982,0.88982,0.50219,0.50263,0.97015,0.95391,0.64776,0.64579
576,-77.7804,35.19873,0.88982,0.0,0.34328,0.1532,0.84372,0.78051,0.88982,0.88982,0.50219,0.50263,0.97015,0.76163,0.6376,0.637
600,-77.56956,35.19642,0.47366,0.92976,0.63652,0.33758,0.0,0.10667,0.15189,0.04214,0.15233,0.19359,0.94908,0.464,0.53465,0.56252
601,-77.56078,35.19632,0.47366,0.0,0.54917,0.33758,0.0,0.10667,0.15189,0.04214,0.15233,0.19359,0.93635,0.84592,0.4715,0.4827
