idnum,lon,lat,dens.cvap.std,dens.work.std,popDens.std,prc.CarAccess.std,prc.ElNonReg.std,prc.disabled.std,prc.latino.std,prc.nonEngProf.std,prc.pov.std,prc.youth.std,rate.vbm.std,dens.poll.std,center_score,droppoff_score
182,-80.8803,35.07996,0.15133,0.99579,0.28654,0.15959,0.0,0.36705,0.874,0.79206,0.61556,0.75038,0.95165,0.91004,0.64833,0.67793
185,-80.85398,35.08037,0.34879,0.79794,0.83573,0.20087,0.0,0.59047,0.76745,0.6285,0.61342,0.43073,0.98079,0.93998,0.65736,0.68957
186,-80.84521,35.0805,0.61239,0.8794,0.69019,0.39539,0.91179,0.17023,0.40278,0.52958,0.45558,0.91584,0.98611,0.99333,0.68816,0.68173
220,-80.87169,35.08731,0.15133,0.96411,0.61326,0.15959,0.0,0.36705,0.874,0.79206,0.61556,0.75038,0.95403,0.84462,0.66821,0.69784
222,-80.85415,35.08758,0.34879,0.98015,0.45224,0.20087,0.0,0.59047,0.76745,0.6285,0.61342,0.43073,0.98071,0.99206,0.64946,0.68403
223,-80.84537,35.08771,0.61239,0.98825,0.0,0.39539,0.91179,0.17023,0.40278,0.52958,0.45558,0.91584,0.98595,0.9422,0.64174,0.63735
986,-80.76014,35.20439,0.21112,0.91528,0.83565,0.90155,0.0,0.55355,0.90226,0.98753,0.97086,0.85756,0.94212,0.89194,0.7663,0.79197
987,-80.75135,35.20452,0.21112,0.97626,0.76189,0.90155,0.0,0.55355,0.90226,0.98753,0.97086,0.85756,0.91743,0.97801,0.75293,0.77431
988,-80.74257,35.20465,0.0767,0.94847,0.51949,0.86685,0.58317,0.21874,0.96316,0.9788,0.84176,0.54498,0.59262,0.99254,0.71588,0.71635
989,-80.73378,35.20477,0.45963,0.97499,0.85939,0.84279,0.0,0.34911,0.86876,0.98444,0.89956,0.54601,0.75276,0.98388,0.70157,0.71876
990,-80.725,35.2049,0.32314,0.9584,0.67098,0.56189,0.79611,0.50711,0.911,0.84145,0.80198,0.86693,0.82493,0.9969,0.74399,0.72891
991,-80.71621,35.20502,0.31179,0.95101,0.7318,0.70981,0.57142,0.7468,0.87185,0.77173,0.43867,0.78214,0.74156,0.97563,0.70224,0.70843
1022,-80.90965,35.20934,0.52426,0.85542,0.32013,0.90687,0.89043,0.98031,0.25113,0.43605,0.89139,0.89615,0.49988,0.50742,0.63522,0.62371
1024,-80.89208,35.20961,0.52426,0.92005,0.37078,0.90687,0.89043,0.98031,0.25113,0.43605,0.89139,0.89615,0.45161,0.95125,0.67936,0.66899
1036,-80.78665,35.21122,0.24637,0.98777,0.38618,0.8397,0.79508,0.71909,0.87979,0.97983,0.97451,0.81302,0.85018,0.97936,0.7626,0.76383
1037,-80.77787,35.21135,0.21112,0.97817,0.44835,0.90155,0.0,0.55355,0.90226,0.98753,0.97086,0.85756,0.94196,0.96252,0.75044,0.77659
1038,-80.76908,35.21148,0.21112,0.96229,0.44256,0.90155,0.0,0.55355,0.90226,0.98753,0.97086,0.85756,0.94252,0.99579,0.7698,0.79561
1039,-80.76029,35.2116,0.19706,0.91528,0.96475,0.82318,0.74712,0.79905,0.96419,0.99119,0.85605,0.91846,0.92227,0.94601,0.90169,0.90745
1047,-80.69001,35.21261,0.38952,0.97483,0.49313,0.56467,0.62969,0.88345,0.81898,0.72005,0.69702,0.69671,0.74609,0.98293,0.70232,0.70755
1077,-80.89225,35.21682,0.52426,0.94982,0.47813,0.90687,0.89043,0.98031,0.25113,0.43605,0.89139,0.89615,0.45478,0.97213,0.68793,0.67839
