provider,lat,lon,num_stops_per_week,score
Tar River Transit,35.97673,-77.80603,21,1
Tar River Transit,35.97547,-77.80625,42,1
Tar River Transit,35.96346,-77.84578,21,1
Tar River Transit,35.96975,-77.8498,21,1
Tar River Transit,35.96303,-77.83934,21,1
Tar River Transit,35.96332,-77.84302,21,1
Tar River Transit,35.96197,-77.83113,21,1
Tar River Transit,35.95158,-77.84795,9,1
Tar River Transit,35.95083,-77.81832,21,1
Tar River Transit,35.93482,-77.82731,9,1
Tar River Transit,35.95416,-77.82089,21,1
Tar River Transit,35.9499,-77.81843,21,1
Tar River Transit,35.9673,-77.8028,21,1
Tar River Transit,35.97657,-77.84135,21,1
Tar River Transit,35.93306,-77.81769,20,1
Tar River Transit,35.93043,-77.82038,20,1
Tar River Transit,35.93433,-77.81595,20,1
Tar River Transit,35.92831,-77.82179,20,1
Tar River Transit,35.93462,-77.81538,21,1
Tar River Transit,35.97911,-77.85557,21,1
Tar River Transit,35.9204,-77.82061,20,1
Tar River Transit,35.93332,-77.81669,21,1
Tar River Transit,35.93089,-77.81387,21,1
Tar River Transit,35.94851,-77.79524,21,1
Tar River Transit,35.93913,-77.80028,42,1
Tar River Transit,35.93076,-77.80331,21,1
Tar River Transit,35.9268,-77.80496,21,1
Tar River Transit,35.92908,-77.80403,21,1
Tar River Transit,35.93548,-77.80152,21,1
Tar River Transit,35.97245,-77.84494,21,1
Tar River Transit,35.97295,-77.8464,21,1
Tar River Transit,35.95135,-77.81636,21,1
Tar River Transit,35.94909,-77.80822,21,1
Tar River Transit,35.95014,-77.81201,21,1
Tar River Transit,35.95097,-77.81503,21,1
Tar River Transit,35.93967,-77.80317,21,1
Tar River Transit,35.93174,-77.80647,20,1
Tar River Transit,35.92908,-77.80757,20,1
Tar River Transit,35.93947,-77.80191,9,1
Tar River Transit,35.93958,-77.80209,29,1
Tar River Transit,35.93882,-77.79946,29,1
Tar River Transit,35.9388,-77.79955,15,1
Tar River Transit,35.98195,-77.83374,21,1
Tar River Transit,35.98343,-77.83618,21,1
Tar River Transit,35.9712,-77.84355,21,1
Tar River Transit,35.91717,-77.81698,21,1
Tar River Transit,35.96017,-77.87,9,1
Tar River Transit,35.95848,-77.87123,9,1
Tar River Transit,35.93627,-77.80466,21,1
Tar River Transit,35.94103,-77.80119,21,1
Tar River Transit,35.97569,-77.8495,21,1
Tar River Transit,35.97594,-77.85395,21,1
Tar River Transit,35.97876,-77.85294,21,1
Tar River Transit,35.92678,-77.80756,20,1
Tar River Transit,35.91689,-77.81437,20,1
Tar River Transit,35.92352,-77.8201,20,1
Tar River Transit,35.97868,-77.842,21,1
Tar River Transit,35.91843,-77.81134,21,1
Tar River Transit,35.91937,-77.80658,20,1
Tar River Transit,35.9177,-77.81982,21,1
Tar River Transit,35.92052,-77.81854,20,1
Tar River Transit,35.92122,-77.8158,20,1
Tar River Transit,35.96218,-77.83018,21,1
Tar River Transit,35.9431,-77.79864,21,1
Tar River Transit,35.96351,-77.84586,21,1
Tar River Transit,35.94736,-77.81388,21,1
Tar River Transit,35.94433,-77.80298,21,1
Tar River Transit,35.96528,-77.87765,9,1
Tar River Transit,35.9468,-77.80359,21,1
Tar River Transit,35.94766,-77.80658,21,1
Tar River Transit,35.92693,-77.81683,21,1
Tar River Transit,35.92028,-77.82504,21,1
Tar River Transit,35.92334,-77.82182,21,1
Tar River Transit,35.92913,-77.81508,21,1
Tar River Transit,35.9351,-77.80727,21,1
Tar River Transit,36.01778,-77.77041,6,1
Tar River Transit,35.93363,-77.81361,20,1
Tar River Transit,35.92701,-77.81969,20,1
Tar River Transit,36.01807,-77.77092,6,1
Tar River Transit,35.93851,-77.79866,129,2
Tar River Transit,35.93353,-77.8022,21,1
Tar River Transit,35.92518,-77.80441,21,1
Tar River Transit,35.91863,-77.8081,21,1
Tar River Transit,35.92179,-77.82392,21,1
Tar River Transit,35.93302,-77.81047,41,1
Tar River Transit,35.92183,-77.80575,21,1
Tar River Transit,35.91976,-77.80666,21,1
Tar River Transit,35.9521,-77.79749,21,1
Tar River Transit,35.95513,-77.79981,21,1
Tar River Transit,35.95827,-77.80233,21,1
Tar River Transit,35.96922,-77.80196,21,1
Tar River Transit,35.97554,-77.80342,21,1
Tar River Transit,35.97688,-77.81043,21,1
Tar River Transit,35.97397,-77.81232,21,1
Tar River Transit,35.97324,-77.81981,21,1
Tar River Transit,35.98241,-77.83973,21,1
Tar River Transit,35.97778,-77.84251,21,1
Tar River Transit,35.97526,-77.83887,21,1
Tar River Transit,35.9687,-77.81698,21,1
Tar River Transit,35.96883,-77.81313,21,1
Tar River Transit,35.96985,-77.81075,21,1
Tar River Transit,35.97103,-77.81109,21,1
Tar River Transit,35.97308,-77.81218,21,1
Tar River Transit,35.97501,-77.81095,21,1
Tar River Transit,35.9698,-77.80216,21,1
Tar River Transit,35.95664,-77.80319,21,1
Tar River Transit,35.95541,-77.80228,21,1
Tar River Transit,35.95457,-77.80163,21,1
Tar River Transit,35.94812,-77.7966,21,1
Tar River Transit,35.94427,-77.79811,21,1
Tar River Transit,35.93517,-77.80737,20,1
Tar River Transit,35.93206,-77.81179,20,1
Tar River Transit,35.93622,-77.80486,20,1
Tar River Transit,35.91928,-77.81847,20,1
Tar River Transit,35.91851,-77.81686,20,1
Tar River Transit,35.91651,-77.80842,20,1
Tar River Transit,35.92262,-77.80527,20,1
Tar River Transit,35.92568,-77.80403,20,1
Tar River Transit,35.93494,-77.80492,20,1
Tar River Transit,35.93566,-77.80318,20,1
Tar River Transit,35.94122,-77.79752,48,1
Tar River Transit,35.94361,-77.79659,21,1
Tar River Transit,35.94569,-77.79978,21,1
Tar River Transit,35.95588,-77.82131,21,1
Tar River Transit,35.96714,-77.84964,21,1
Tar River Transit,35.97306,-77.84858,21,1
Tar River Transit,35.97261,-77.8491,21,1
Tar River Transit,35.96353,-77.84818,21,1
Tar River Transit,35.96173,-77.82863,21,1
Tar River Transit,35.94628,-77.81,21,1
Tar River Transit,35.94074,-77.80698,9,1
Tar River Transit,35.93849,-77.84203,9,1
Tar River Transit,35.93413,-77.82396,9,1
Tar River Transit,36.03234,-77.76616,6,1
Tar River Transit,36.05016,-77.75071,6,1
Tar River Transit,36.0627,-77.81916,12,1
Tar River Transit,36.0615,-77.81695,6,1
Tar River Transit,36.06039,-77.81414,6,1
Tar River Transit,36.03552,-77.76521,6,1
Tar River Transit,35.96271,-77.83678,21,1
Tar River Transit,35.9575,-77.82395,21,1
Tar River Transit,35.94342,-77.79507,41,1
Tar River Transit,35.94121,-77.796,41,1
Tar River Transit,35.94138,-77.79747,21,1
Tar River Transit,35.97861,-77.80852,21,1
Tar River Transit,35.97571,-77.81948,21,1
Tar River Transit,35.94325,-77.79858,21,1
Tar River Transit,35.94073,-77.7996,69,2
Tar River Transit,35.96011,-77.82121,21,1
Tar River Transit,35.96091,-77.82134,21,1
Tar River Transit,35.95926,-77.82525,21,1
Tar River Transit,35.96286,-77.83676,21,1
Tar River Transit,35.96067,-77.82658,21,1
Tar River Transit,35.96318,-77.83916,21,1
Tar River Transit,35.96589,-77.83918,21,1
Tar River Transit,35.96336,-77.84125,21,1
Tar River Transit,35.96375,-77.84935,21,1
Tar River Transit,35.96682,-77.84949,21,1
Tar River Transit,35.97019,-77.84938,21,1
Tar River Transit,35.97077,-77.84575,21,1
Tar River Transit,35.97558,-77.85215,21,1
Tar River Transit,35.94534,-77.80663,21,1
Tar River Transit,35.93754,-77.83662,9,1
Tar River Transit,35.94093,-77.8093,9,1
Tar River Transit,35.93419,-77.82411,9,1
Tar River Transit,35.95631,-77.87196,9,1
Tar River Transit,35.96486,-77.87144,9,1
Tar River Transit,35.96624,-77.87529,9,1
Tar River Transit,35.96701,-77.87506,9,1
Tar River Transit,35.97634,-77.89637,9,1
Tar River Transit,35.97105,-77.89189,9,1
Tar River Transit,35.93775,-77.83765,9,1
Tar River Transit,35.93253,-77.8327,9,1
Tar River Transit,35.93715,-77.82831,9,1
Tar River Transit,35.94331,-77.79666,6,1
Tar River Transit,35.97682,-77.80048,6,1
Tar River Transit,35.9786,-77.80844,6,1
Tar River Transit,35.97687,-77.81035,6,1
Tar River Transit,35.97604,-77.80958,6,1
Tar River Transit,35.97692,-77.80762,6,1
Tar River Transit,35.98635,-77.78182,6,1
Tar River Transit,35.9991,-77.77612,6,1
Tar River Transit,36.02296,-77.76891,6,1
Tar River Transit,36.02371,-77.76901,6,1
Tar River Transit,35.97621,-77.79663,6,1
Tar River Transit,35.98556,-77.78348,6,1
Tar River Transit,35.96533,-77.84972,21,1
Tar River Transit,35.93771,-77.79767,358,4
Tar River Transit,35.97539,-77.80463,21,1
Tar River Transit,35.95422,-77.82123,21,1
Tar River Transit,35.99932,-77.77647,6,1
Tar River Transit,35.97674,-77.89688,18,1
Tar River Transit,35.97236,-77.8991,9,1
