idnum,lon,lat,dens.cvap.std,dens.work.std,popDens.std,prc.CarAccess.std,prc.ElNonReg.std,prc.disabled.std,prc.latino.std,prc.nonEngProf.std,prc.pov.std,prc.youth.std,rate.vbm.std,dens.poll.std,center_score,droppoff_score
231,-78.76995,35.5948,0.73337,0.93627,0.35185,0.62943,0.0,0.65835,0.65488,0.33257,0.58498,0.16975,0.50621,0.71521,0.46972,0.49153
557,-78.83165,35.64538,0.31523,0.77956,0.64468,0.87789,0.88434,0.85847,0.64781,0.25463,0.52084,0.29069,0.41599,0.96054,0.58154,0.57326
721,-78.75208,35.66687,0.91117,0.86284,0.74066,0.28819,0.0,0.55197,0.35684,0.08425,0.1079,0.51009,0.6521,0.65273,0.42941,0.45175
953,-78.61055,35.69535,0.88967,0.98273,0.61944,0.51349,0.59185,0.75979,0.703,0.4716,0.52548,0.80431,0.26669,0.9724,0.64102,0.64815
1157,-78.84917,35.72472,0.19257,0.9448,0.4284,0.79509,0.0,0.54268,0.68116,0.55662,0.47819,0.52472,0.34165,0.70959,0.46451,0.47786
1509,-78.55716,35.76006,0.9878,0.75896,0.89647,0.3395,0.85611,0.73781,0.85473,0.74787,0.84315,0.88995,0.37328,0.78524,0.7156,0.71281
1555,-78.74292,35.76781,0.09202,0.9586,0.84862,0.69205,0.62666,0.7358,0.94591,0.98599,0.41058,0.67305,0.93045,0.99494,0.75662,0.76929
1687,-78.79597,35.78233,0.23896,0.92691,0.56917,0.91769,0.0,0.87803,0.68518,0.69357,0.76694,0.66244,0.9645,0.98079,0.63038,0.6469
1706,-78.62783,35.78193,0.21753,0.72866,0.8989,0.94862,0.0,0.95513,0.18515,0.11643,0.99119,0.96255,0.97011,0.54781,0.69776,0.7217
1769,-78.68975,35.78931,0.64656,0.0,0.95423,0.92483,0.96457,0.02926,0.14174,0.29471,0.98391,0.99522,0.83635,0.6752,0.58919,0.55186
1864,-78.48616,35.79584,0.56917,0.95742,0.0,0.23847,0.93225,0.92372,0.94792,0.917,0.68532,0.86159,0.62998,0.56647,0.66234,0.66143
2256,-78.31769,35.83106,0.62104,0.6148,0.7824,0.3929,0.42785,0.90195,0.791,0.72582,0.80092,0.75113,0.01851,0.17565,0.46672,0.47588
2304,-78.55673,35.83938,0.83122,0.91256,0.55593,0.66036,0.0,0.62894,0.97434,0.97157,0.69219,0.77838,0.35254,0.99418,0.61188,0.63906
2340,-78.89322,35.84735,0.81104,0.0,0.3205,0.17197,0.7634,0.01505,0.60814,0.68574,0.17481,0.18258,0.51869,0.86305,0.40511,0.39138
2446,-78.60979,35.85398,0.3497,0.95403,0.95451,0.936,0.55308,0.22419,0.65245,0.13896,0.84072,0.55703,0.41238,0.96713,0.60404,0.5938
2648,-78.6717,35.87579,0.70092,0.0,0.57354,0.6969,0.58248,0.64455,0.22613,0.13411,0.49816,0.19042,0.90285,0.80605,0.4906,0.47464
2789,-78.51214,35.88968,0.93537,0.75896,0.94293,0.21281,0.82789,0.27481,0.45052,0.44241,0.25449,0.36405,0.19021,0.43187,0.49147,0.49216
2824,-78.73364,35.89758,0.51383,0.0,0.77033,0.44525,0.49012,0.02288,0.56168,0.14666,0.50621,0.09549,0.73573,0.77013,0.4467,0.43323
2839,-78.60072,35.89721,0.05915,0.68158,0.6372,0.04591,0.0,0.32286,0.04445,0.07572,0.07829,0.0631,0.86249,0.92504,0.40128,0.42112
3343,-78.51162,35.97621,0.58186,0.87345,0.54414,0.83885,0.57652,0.53408,0.20914,0.42757,0.42327,0.91582,0.1425,0.56792,0.51363,0.51753
