osm_id,code,fclass,name,point_x,point_y,lon,lat
1175008264,2501,supermarket,Lowes Foods,-78.7859556000,35.9099047000,-78.78596,35.9099
2222936400,2501,supermarket,,-78.7867067000,35.9010504000,-78.78671,35.90105
2906198263,2303,cafe,J.Q.'s Corner Cafe,-78.7912608000,35.8791711000,-78.79126,35.87917
4376982812,2402,motel,Microtel Inn & Suites by Wyndham Raleigh Durham Airport,-78.8179057000,35.8616642000,-78.81791,35.86166
4376982814,2402,motel,Days Inn Raleigh-Airport-Research Triangle Park,-78.8199549000,35.8582209000,-78.81995,35.85822
4376982816,2402,motel,Holiday Inn Raleigh Durham Airport-Morrisville,-78.8219076000,35.8563949000,-78.82191,35.85639
4565492379,2303,cafe,Starbucks,-78.7807484000,35.9126433000,-78.78075,35.91264
5777332863,2501,supermarket,Harris Teeter,-78.7880230000,35.9191774000,-78.78802,35.91918
6049944185,2303,cafe,Rise Biscuits & Donuts,-78.7846994000,35.9084005000,-78.7847,35.9084
6050166170,2303,cafe,Caribou Coffee,-78.7845626000,35.9088009000,-78.78456,35.9088
7164671276,2082,school,The Franciscan School,-78.7411643000,35.9186603000,-78.74116,35.91866
7164671277,2083,kindergarten,Saint Francis of Assisi Preschool,-78.7385304000,35.9192273000,-78.73853,35.91923
357813273,2082,school,Cedar Fork Elementary School,-78.8395198000,35.8367424000,-78.83952,35.83674
653113687,2081,university,Campbell University RTP Campus,-78.8126560000,35.8345862000,-78.81266,35.83459
2178025823,2501,supermarket,Kadhambam Spices,-78.8458681000,35.8174176000,-78.84587,35.81742
2435348957,2501,supermarket,Food Lion,-78.8117511000,35.8044576000,-78.81175,35.80446
2532545958,2303,cafe,Starbucks,-78.8476008000,35.8216311000,-78.8476,35.82163
4181306274,2083,kindergarten,Discovery Child Development Center,-78.8463888000,35.8230119000,-78.84639,35.82301
4457356190,2303,cafe,Starbucks,-78.8190582000,35.8072280000,-78.81906,35.80723
4502874897,2501,supermarket,Suvidha Indo-Pak Groceries,-78.8556395000,35.8337216000,-78.85564,35.83372
4629340404,2303,cafe,Starbucks,-78.8152223000,35.8056424000,-78.81522,35.80564
7472433244,2501,supermarket,Earth Fare,-78.8176316000,35.8094386000,-78.81763,35.80944
7847692993,2501,supermarket,Wegmans,-78.8503386000,35.8287907000,-78.85034,35.82879
360284653,2082,school,Laurel Park Elementary,-78.8267393000,35.7588631000,-78.82674,35.75886
2118729725,2303,cafe,Kung Fu Tea,-78.8266982000,35.7889987000,-78.8267,35.789
2121961593,2083,kindergarten,St. Michael Early Childhood Center,-78.8210709000,35.7868630000,-78.82107,35.78686
2239164859,2303,cafe,La Farm Bakery,-78.8274423000,35.7907022000,-78.82744,35.7907
2272176282,2083,kindergarten,Leap N Learn,-78.8093354000,35.7853323000,-78.80934,35.78533
2272176287,2082,school,Oxford Learning,-78.8125439000,35.7842664000,-78.81254,35.78427
2441002789,2084,college,AKG Guitar Lessons,-78.8059743000,35.7833131000,-78.80597,35.78331
3377193093,2501,supermarket,Food Lion,-78.8216523000,35.7639188000,-78.82165,35.76392
4309292490,2501,supermarket,Kroger,-78.8217945000,35.7459923000,-78.82179,35.74599
357779852,2082,school,Murphy School,-78.6350033000,35.7857070000,-78.635,35.78571
357781238,2082,school,Olds School,-78.6755595000,35.7937624000,-78.67556,35.79376
357783265,2082,school,Ravenscroft School,-78.6483369000,35.7868181000,-78.64834,35.78682
357787944,2082,school,Underwood School,-78.6450035000,35.8023734000,-78.645,35.80237
357789320,2082,school,Wiley School,-78.6515033000,35.7850522000,-78.6515,35.78505
1216186242,2303,cafe,Turkish Delights,-78.6477009000,35.7826802000,-78.6477,35.78268
1278590483,2303,cafe,Third Place,-78.6465826000,35.8049646000,-78.64658,35.80496
2149309692,2082,school,Hope Elementary Charter School,-78.6353461000,35.7951797000,-78.63535,35.79518
2718025534,2501,supermarket,The Fresh Market,-78.6586014000,35.7896031000,-78.6586,35.7896
3189413413,2303,cafe,Escazu Chocolate,-78.6354009000,35.7931479000,-78.6354,35.79315
3353211810,2303,cafe,Saxbys Coffee,-78.6701758000,35.7883976000,-78.67018,35.7884
4128436170,2303,cafe,Cafe Helios,-78.6476660000,35.7855632000,-78.64767,35.78556
4377037914,2402,motel,Days Inn Raleigh Downtown,-78.6424049000,35.7842991000,-78.6424,35.7843
4529421425,2303,cafe,Liquid State,-78.6617371000,35.7859869000,-78.66174,35.78599
4544100859,2303,cafe,Jubala Coffee,-78.6632429000,35.7865670000,-78.66324,35.78657
5808092225,2081,university,North Carolina State South Campus,-78.6815172000,35.7795834000,-78.68152,35.77958
5808092226,2504,mall,Halifax Mall,-78.6388213000,35.7851331000,-78.63882,35.78513
5905451215,2501,supermarket,Whole Foods Market,-78.6863295000,35.8023980000,-78.68633,35.8024
6380044105,2303,cafe,Global Village Organic Coffee,-78.6677588000,35.7878278000,-78.66776,35.78783
6993756773,2303,cafe,Starbucks,-78.6707183000,35.7834778000,-78.67072,35.78348
7869310945,2501,supermarket,Publix,-78.6448903000,35.7883160000,-78.64489,35.78832
