name,address,lat,lon
,249 NASH ST W WILSON NC 27893,35.72749,-77.91434
,633 WALNUT ST S WILSON NC 27893,35.71481,-77.91333
,502 PARKVIEW ST WILSON NC 27893,35.7269,-77.92819
,500 SUNSET RD WILSON NC 27893,35.73506,-77.92594
,1301 CORBETT AVE WILSON NC 27893,35.74445,-77.91076
,1008 RAILROAD ST WILSON NC 27893,35.7116,-77.91123
,1806 GOLDSBORO ST S WILSON NC 27893,35.70734,-77.9277
,1801 GLENDALE DR WILSON NC 27893,35.71653,-77.94477
,103 PRIVETTE ST BLACK CREEK NC 27813,35.63629,-77.93411
,1100 FOREST HILLS RD WILSON NC 27896,35.74985,-77.94685
,109 FOREST HILLS RD WILSON NC 27893,35.75063,-77.93152
,1400 GROVE ST WILSON NC 27893,35.74467,-77.9175
,1600 LIPSCOMB RD WILSON NC 27893,35.71898,-77.88893
,1210 FOREST HILLS RD WILSON NC 27896,35.74058,-77.95057
,700 NEW BERN ST WILSON NC 27893,35.71177,-77.90032
,901 REID ST E WILSON NC 27893,35.7241,-77.89755
,102 GROVE ST LUCAMA NC 27851,35.64522,-78.00888
,5404 NC 42 HWY E ELM CITY NC 27822,35.74347,-77.78227
,6217 US 264 ALT W SIMS NC 27880,35.76429,-78.02088
,6903 CHURCH ST SARATOGA NC 27873,35.6541,-77.77558
,7344 NC 581 HWY KENLY NC 27542,35.61333,-78.09092
,107 N SARATOGA ST STANTONSBURG NC 27883,35.60572,-77.82022
,4826 PACKHOUSE RD WILSON NC 27896,35.78239,-77.95182
,5544 LAKE WILSON RD ELM CITY NC 27822,35.80682,-77.87068
